,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
125,125,1673330400,1.21676,1.21777,1.21579,1.21709,7992,5,0,0.00025473833990842954,0.061181303945327635,0.2894904584678628,0.21134134875854485,0
126,126,1673341200,1.21709,1.21846,1.21398,1.21836,18018,1,0,0.001042928506120066,0.060259964086894414,0.25331990299222223,0.2378808904278816,3
127,127,1673352000,1.21837,1.21838,1.2123,1.21271,11975,1,0,-0.004648167409879072,0.06290140234070696,0.21394998491163777,0.29400049907311515,0
128,128,1673362800,1.21271,1.2181,1.21099,1.21478,28222,1,0,0.0017054657294043568,0.06297120979375322,0.22313889140089013,0.28220633973043935,0
129,129,1673373600,1.21478,1.21807,1.21418,1.2161,15224,1,0,0.0010860265662968366,0.06294608589961356,0.23174398269742358,0.27161907363005444,3
130,130,1673384400,1.2161,1.21676,1.21471,1.21495,6368,4,0,-0.0009460933224571184,0.06253784426862778,0.24224099745676675,0.25816374984085444,0
131,131,1673395200,1.21466,1.21638,1.21364,1.21589,4783,6,0,0.0007733952434996876,0.05980678475291675,0.300501606315962,0.19902317823230864,0
132,132,1673406000,1.21589,1.21598,1.21411,1.21537,8125,6,0,-0.0004277617432351567,0.05995053970364723,0.29445773778437107,0.20359641473422072,0
133,133,1673416800,1.21537,1.21742,1.21522,1.21622,6236,1,0,0.0006991310497430254,0.0285606076483702,0.11490266858845674,0.24856348420126625,3
134,134,1673427600,1.21622,1.21781,1.21257,1.21324,15771,1,0,-0.0024532212874820267,0.02874703576308604,0.05005314038402821,0.5743303125943148,0
135,135,1673438400,1.21324,1.21408,1.21063,1.21143,12636,1,0,-0.00149298695179893,0.029148266509348167,0.01962923011299162,1.4849419127272019,2
136,136,1673449200,1.21143,1.21539,1.21003,1.21261,20763,1,0,0.000973581370939577,0.029069582162028963,0.017429628475827363,1.6678256913131975,2
137,137,1673460000,1.21261,1.215,1.2113,1.21491,14527,3,0,0.0018949386107922407,0.029541546383134797,0.026698320120147622,1.1064945753212976,4
138,138,1673470800,1.21492,1.2156,1.21404,1.21483,8827,3,0,-6.585066717325002e-05,0.028644732172405152,0.0007902600452343264,36.247223107314596,2
139,139,1673481600,1.21436,1.21651,1.21303,1.21507,6716,7,0,0.00019753899401660067,0.028461444686968262,-0.007898179590247485,-3.6035448880032925,3
140,140,1673492400,1.21507,1.2167,1.21507,1.21646,7443,5,0,0.0011433131825750226,0.028092358345844285,0.02577449958309085,1.0899283710739451,3
141,141,1673503200,1.21647,1.21703,1.21363,1.21457,5813,4,0,-0.0015548967974796978,0.024070976317748276,-0.04467332282648089,-0.5388221604030714,1
142,142,1673514000,1.21451,1.21819,1.21335,1.2177,14323,1,0,0.002573728844068111,0.025869715838597512,-0.00955519942784936,-2.707396746026906,4
143,143,1673524800,1.2177,1.21909,1.21272,1.21335,13371,1,0,-0.0035787043808904735,0.028635458063970526,-0.04944675562872238,-0.5791170259780787,1
144,144,1673535600,1.21335,1.22424,1.20882,1.21553,50502,1,0,0.00179506652068275,0.02934673720760516,-0.01824975381646398,-1.6080620869049782,1
145,145,1673546400,1.21556,1.22466,1.21462,1.22284,24114,1,0,0.005995826637868794,0.03602384084462875,0.059615964426237275,0.6042650016876098,4
146,146,1673557200,1.22284,1.22288,1.22056,1.22079,12138,5,0,-0.001677832143913988,0.03662854493070169,0.03642511862036826,1.0055847809983431,2
147,147,1673568000,1.22069,1.22325,1.2194,1.2208,5778,7,0,8.191383483869734e-06,0.036483869922645344,0.024008273148733907,1.5196374056819386,2
148,148,1673578800,1.22083,1.22187,1.21896,1.21986,12533,7,0,-0.0007702834860063942,0.032372628670185304,0.07054288023520604,0.4589071010745178,0
149,149,1673589600,1.21986,1.2208,1.21759,1.22012,8335,1,0,0.00021311650176173116,0.031954687155629005,0.05263468950349453,0.6071031758153995,0
150,150,1673600400,1.22012,1.22484,1.21885,1.2228,19034,1,0,0.002194096470731692,0.03256269459279507,0.06593152835671279,0.49388654266619497,4
151,151,1673611200,1.22279,1.2241,1.21679,1.2176,14772,0,0,-0.004261602909258163,0.035960351496211664,0.02614541331510025,1.3753980884839487,2
152,152,1673622000,1.21762,1.2222,1.21507,1.22153,27701,1,0,0.0032224632560360358,0.03750266867913447,0.05553422946553642,0.6753072661683003,4
