,time,open,high,low,close,tick_volume,spread,real_volume
238,1675069200,129.59,130.179,129.41,129.968,13574,1,0
239,1675080000,129.968,130.258,129.849,130.072,9027,0,0
240,1675090800,130.066,130.403,129.961,130.317,14054,0,0
241,1675101600,130.317,130.463,130.294,130.421,6565,0,0
242,1675112400,130.42,130.568,130.402,130.442,3040,1,0
243,1675123200,130.404,130.53,130.267,130.301,6379,3,0
244,1675134000,130.3,130.306,130.061,130.244,6355,0,0
245,1675144800,130.242,130.404,130.137,130.256,5464,0,0
246,1675155600,130.247,130.432,130.042,130.392,10873,1,0
247,1675166400,130.392,130.491,130.316,130.431,7305,1,0
248,1675177200,130.431,130.443,129.744,130.037,22795,0,0
249,1675188000,130.04,130.355,130.002,130.134,8151,1,0
250,1675198800,130.143,130.229,130.066,130.102,4593,1,0
251,1675209600,130.067,130.202,129.857,129.92,3634,0,0
252,1675220400,129.92,130.113,129.873,130.012,4463,1,0
253,1675231200,130.012,130.326,130.008,130.275,4597,0,0
254,1675242000,130.276,130.411,129.799,129.878,11234,1,0
255,1675252800,129.877,129.963,129.665,129.85,8474,1,0
256,1675263600,129.849,129.858,129.187,129.253,20350,0,0
257,1675274400,129.255,129.451,129.225,129.351,8664,0,0
258,1675285200,129.315,129.867,128.532,128.948,31196,3,0
259,1675296000,128.937,128.944,128.172,128.456,9575,2,0
260,1675306800,128.457,128.763,128.428,128.606,7637,0,0
261,1675317600,128.608,128.788,128.395,128.662,5828,0,0
262,1675328400,128.66,129.131,128.542,128.921,12931,0,0
263,1675339200,128.921,129.011,128.301,128.408,13537,0,0
264,1675350000,128.408,128.913,128.08,128.418,29535,0,0
265,1675360800,128.418,128.593,128.246,128.523,10102,0,0
266,1675371600,128.523,128.764,128.474,128.686,6092,2,0
267,1675382400,128.677,128.823,128.532,128.623,7059,2,0
268,1675393200,128.625,128.78,128.446,128.559,6530,1,0
269,1675404000,128.554,128.657,128.507,128.562,5659,1,0
270,1675414800,128.562,128.723,128.475,128.558,20712,0,0
271,1675425600,128.558,128.611,128.328,128.431,16799,0,0
272,1675436400,128.434,131.178,128.368,131.068,48574,0,0
273,1675447200,131.072,131.196,130.836,131.11,19912,0,0
274,1675458000,131.109,131.199,131.027,131.18,9428,2,0
275,1675641600,132.292,132.385,131.506,132.294,16179,2,0
276,1675652400,132.294,132.371,131.732,131.899,21127,2,0
277,1675663200,131.9,131.993,131.582,131.826,19962,0,0
278,1675674000,131.825,132.097,131.588,131.945,31128,0,0
279,1675684800,131.944,132.294,131.914,132.099,26005,0,0
280,1675695600,132.102,132.873,132.033,132.848,32262,0,0
